experiment,timestamp,baseline_home_acc,baseline_rolling_acc,ensemble_acc,ensemble_mae,train_size,test_size,param_train_end_date,param_year
fixed_methodology_v1,2025-12-28T19:42:05.977010,53.125,48.4375,50.78125,11.912959153235866,79,256,2024-09-01,2024
fixed_methodology_v1,2025-12-28T19:46:06.168815,53.125,53.90625,52.734375,12.636563249855028,428,256,2024-09-01,2024
fixed_methodology_v1,2025-12-28T19:49:36.408789,53.125,53.90625,56.25,11.474882062862395,428,256,2024-09-01,2024
fixed_methodology_v1,2025-12-28T19:56:21.824547,53.125,53.90625,60.546875,11.036257055912236,428,256,2024-09-01,2024
fixed_methodology_v1,2025-12-28T20:10:16.393059,53.125,53.90625,61.71875,10.885021621628503,428,256,2024-09-01,2024
fixed_methodology_v1,2025-12-28T20:23:54.019155,53.125,53.90625,62.109375,10.697838860508408,428,256,2024-09-01,2024
fixed_methodology_v1,2025-12-28T20:42:41.607905,53.125,53.90625,62.109375,10.937683492238122,428,256,2024-09-01,2024
fixed_methodology_v1,2025-12-28T21:15:09.462153,53.125,53.90625,61.71875,10.997307036487726,428,256,2024-09-01,2024
