dataset	relative_path	size_bytes	mtime_utc	sha256
subs_moleskine	distilled/scenes/creme_sullivan.md	2716	2026-02-17T03:04:50.791357+00:00	eba13cee71774396a8423c7f36b6029854b83e9f882996ca81e2c9cbdd94c526
subs_moleskine	distilled/scenes/kimberly_origin.md	40558	2026-02-17T03:04:50.806710+00:00	a7c912bcc0f75a6d704e5a4f748d22a71cf9162fe796f85b956bcc643560b4f0
subs_moleskine	distilled/schemas/decision_ledger.schema.json	2373	2026-02-17T03:15:33.927441+00:00	2f419ac209ec30e6801f93ed018e7a477841261f6c15388d2c27ed42296245d8
subs_moleskine	distilled/schemas/world_state.schema.json	3619	2026-02-17T03:15:32.043671+00:00	3d2128c9a097751c872946290a17b2b11d769d3d819d625db6042270606546cc
subs_moleskine	distilled/state/decision_ledger.json	1316	2026-02-17T03:15:37.950546+00:00	afca578dee85a99534248ae0abe95a1ce6a897c1c39fc0d02f6a03b224e41bb0
subs_moleskine	distilled/state/world_state.json	1480	2026-02-17T03:15:35.941917+00:00	1e6d7175bdb52ffd4c1c820d5143b4f6db5d30a620e1d28a0c14f426fb79a1e0
subs_moleskine	distilled/test_prompt.txt	257	2026-02-17T05:59:58.382650+00:00	3a1523d478e74a82aaf51faf06a40f7580254e6d01afaf54e888d798411e7d41
subs_moleskine	distilled/test_result.json	1769	2026-02-17T06:00:50.535055+00:00	3d30fbe1641eb406767666c513cfb007ead668ad5909e229403145d112abd0ed
subs_moleskine	distilled/test_result_v2.json	2644	2026-02-17T06:07:26.922745+00:00	b415cb6a00f19955367a775cd0086731ae5c008bccd1625ffd52bd1eca1ca3c9
subs_moleskine	distilled/verify_state.py	1790	2026-02-17T03:15:47.057002+00:00	3229e0905c6a5c07fe0f91ef1bee9f298a0d44392aa225f7e15ff07ce36bc1a0
subs_moleskine	distilled/vibe_check_el1_5_final.txt	40511	2026-02-17T06:42:28.096845+00:00	2fa11fdaf2ca206d9696408f208cd5e76fab4a4859e60e893d8cac767837b63b
subs_moleskine	distilled/vibe_check_el1_5_results.json	20382	2026-02-17T06:42:47.540328+00:00	fdadf9931e5c1e35fb8bfeaffcd8a1e8763524696f627c91f75a8be3805a4203
subs_moleskine	distilled/vibe_check_el1_final.txt	38427	2026-02-17T06:36:05.428523+00:00	2a5dcb061cdca55fc40fd99069bb5456d5c2e00e7c47f90b9699dda8d01a9f4c
